Red,Green,Blue
0.455,0.284,0.261
0.465,0.279,0.256
0.465,0.279,0.256
0.465,0.279,0.256
0.465,0.279,0.256
0.465,0.279,0.256
0.465,0.279,0.256
0.460,0.287,0.253
0.460,0.287,0.253
0.460,0.287,0.253
0.460,0.287,0.253
0.455,0.284,0.261
0.460,0.287,0.253
0.455,0.284,0.261
0.455,0.284,0.261
0.460,0.287,0.253
0.455,0.284,0.261
0.455,0.284,0.261
0.460,0.287,0.253
0.455,0.284,0.261
0.465,0.279,0.256
0.460,0.287,0.253
0.460,0.287,0.253
0.455,0.284,0.261
0.455,0.284,0.261
0.460,0.287,0.253
0.455,0.284,0.261
0.465,0.279,0.256
0.460,0.287,0.253
0.460,0.287,0.253
0.465,0.279,0.256
0.460,0.287,0.253
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.460,0.287,0.253
0.455,0.284,0.261
0.455,0.284,0.261
0.460,0.287,0.253
0.460,0.287,0.253
0.465,0.279,0.256
0.460,0.287,0.253
0.465,0.279,0.256
0.460,0.287,0.253
0.465,0.279,0.256
0.460,0.287,0.253
0.460,0.287,0.253
0.460,0.287,0.253
0.460,0.287,0.253
0.465,0.279,0.256
0.465,0.279,0.256
0.459,0.282,0.259
0.464,0.286,0.250
0.469,0.284,0.247
0.469,0.284,0.247
0.469,0.284,0.247
0.469,0.284,0.247
0.469,0.284,0.247
0.475,0.275,0.250
0.475,0.275,0.250
0.475,0.275,0.250
0.475,0.275,0.250
0.475,0.275,0.250
0.475,0.275,0.250
0.475,0.275,0.250
0.469,0.284,0.247
0.469,0.284,0.247
0.469,0.284,0.247
0.470,0.277,0.253
0.459,0.282,0.259
0.459,0.282,0.259
0.465,0.279,0.256
0.459,0.282,0.259
0.459,0.282,0.259
0.459,0.282,0.259
0.459,0.282,0.259
0.459,0.282,0.259
0.459,0.282,0.259
0.459,0.282,0.259
0.459,0.282,0.259
0.459,0.282,0.259
0.459,0.282,0.259
0.459,0.282,0.259
0.459,0.282,0.259
0.459,0.282,0.259
0.459,0.282,0.259
0.459,0.282,0.259
0.459,0.282,0.259
0.459,0.282,0.259
0.459,0.282,0.259
0.459,0.282,0.259
0.452,0.286,0.262
0.452,0.286,0.262
0.458,0.277,0.265
0.463,0.280,0.256
0.463,0.280,0.256
0.457,0.284,0.259
0.457,0.284,0.259
0.457,0.284,0.259
0.457,0.284,0.259
0.457,0.284,0.259
0.457,0.284,0.259
0.457,0.284,0.259
0.457,0.284,0.259
0.457,0.284,0.259
0.457,0.284,0.259
0.457,0.284,0.259
0.457,0.284,0.259
0.457,0.284,0.259
0.457,0.284,0.259
0.457,0.284,0.259
0.457,0.284,0.259
0.457,0.284,0.259
0.457,0.284,0.259
0.457,0.284,0.259
0.450,0.287,0.262
0.450,0.287,0.262
0.450,0.287,0.262
0.450,0.287,0.262
0.450,0.287,0.262
0.450,0.287,0.262
0.457,0.284,0.259
0.457,0.284,0.259
0.457,0.284,0.259
0.457,0.284,0.259
0.457,0.284,0.259
0.457,0.284,0.259
0.457,0.284,0.259
0.457,0.284,0.259
0.451,0.280,0.268
0.451,0.280,0.268
0.451,0.280,0.268
0.451,0.280,0.268
0.451,0.280,0.268
0.451,0.280,0.268
0.451,0.280,0.268
0.451,0.280,0.268
0.451,0.280,0.268
0.451,0.280,0.268
0.451,0.280,0.268
0.451,0.280,0.268
0.451,0.280,0.268
0.451,0.280,0.268
0.451,0.280,0.268
0.451,0.280,0.268
0.451,0.280,0.268
0.451,0.280,0.268
0.451,0.280,0.268
0.451,0.280,0.268
0.451,0.280,0.268
0.451,0.280,0.268
0.451,0.280,0.268
0.451,0.280,0.268
0.446,0.289,0.265
0.451,0.280,0.268
0.446,0.289,0.265
0.451,0.280,0.268
0.446,0.289,0.265
0.446,0.289,0.265
0.446,0.289,0.265
0.446,0.289,0.265
0.446,0.289,0.265
0.446,0.289,0.265
0.446,0.289,0.265
0.452,0.286,0.262
0.446,0.289,0.265
0.452,0.286,0.262
0.446,0.289,0.265
0.446,0.289,0.265
0.446,0.289,0.265
0.446,0.289,0.265
0.451,0.280,0.268
0.451,0.280,0.268
0.452,0.286,0.262
0.451,0.280,0.268
0.452,0.286,0.262
0.452,0.286,0.262
0.452,0.286,0.262
0.452,0.286,0.262
0.452,0.286,0.262
0.452,0.286,0.262
0.452,0.286,0.262
0.452,0.286,0.262
0.452,0.286,0.262
0.452,0.286,0.262
0.452,0.286,0.262
0.452,0.286,0.262
0.452,0.286,0.262
0.452,0.286,0.262
0.452,0.286,0.262
0.452,0.286,0.262
0.452,0.286,0.262
0.452,0.286,0.262
0.463,0.280,0.256
0.457,0.284,0.259
0.451,0.280,0.268
0.458,0.277,0.265
0.451,0.280,0.268
0.457,0.284,0.259
0.463,0.280,0.256
0.458,0.277,0.265
0.458,0.277,0.265
0.452,0.286,0.262
0.452,0.286,0.262
0.452,0.286,0.262
0.452,0.286,0.262
0.459,0.282,0.259
0.459,0.282,0.259
0.459,0.282,0.259
0.459,0.282,0.259
0.459,0.282,0.259
0.459,0.282,0.259
0.459,0.282,0.259
0.453,0.279,0.267
0.453,0.279,0.267
0.453,0.279,0.267
0.453,0.279,0.267
0.448,0.287,0.264
0.448,0.287,0.264
0.448,0.287,0.264
0.448,0.287,0.264
0.448,0.287,0.264
0.448,0.287,0.264
0.448,0.287,0.264
0.453,0.279,0.267
0.448,0.287,0.264
0.448,0.287,0.264
0.448,0.287,0.264
0.448,0.287,0.264
0.448,0.287,0.264
0.448,0.287,0.264
0.453,0.279,0.267
0.453,0.279,0.267
0.448,0.287,0.264
0.448,0.287,0.264
0.453,0.279,0.267
0.453,0.279,0.267
0.453,0.279,0.267
0.459,0.282,0.259
0.459,0.282,0.259
0.459,0.282,0.259
0.459,0.282,0.259
0.459,0.282,0.259
0.459,0.282,0.259
0.459,0.282,0.259
0.459,0.282,0.259
0.459,0.282,0.259
0.459,0.282,0.259
0.459,0.282,0.259
0.459,0.282,0.259
0.453,0.279,0.267
0.459,0.282,0.259
0.453,0.279,0.267
0.459,0.282,0.259
0.459,0.282,0.259
0.453,0.279,0.267
0.448,0.287,0.264
0.448,0.287,0.264
0.448,0.287,0.264
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.465,0.279,0.256
0.465,0.279,0.256
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.461,0.281,0.258
0.461,0.281,0.258
0.461,0.281,0.258
0.461,0.281,0.258
0.461,0.281,0.258
0.461,0.281,0.258
0.455,0.284,0.261
0.461,0.281,0.258
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.461,0.281,0.258
0.461,0.281,0.258
0.461,0.281,0.258
0.461,0.281,0.258
0.455,0.284,0.261
0.461,0.281,0.258
0.461,0.281,0.258
0.455,0.284,0.261
0.465,0.279,0.256
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.460,0.287,0.253
0.465,0.279,0.256
0.465,0.279,0.256
0.459,0.282,0.259
0.459,0.282,0.259
0.459,0.282,0.259
0.459,0.282,0.259
0.465,0.279,0.256
0.465,0.279,0.256
0.459,0.282,0.259
0.465,0.279,0.256
0.465,0.279,0.256
0.460,0.276,0.264
0.465,0.279,0.256
0.465,0.279,0.256
0.460,0.276,0.264
0.460,0.276,0.264
0.465,0.279,0.256
0.465,0.279,0.256
0.460,0.276,0.264
0.465,0.279,0.256
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.461,0.281,0.258
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.461,0.281,0.258
0.461,0.281,0.258
0.461,0.281,0.258
0.461,0.281,0.258
0.461,0.281,0.258
0.461,0.281,0.258
0.461,0.281,0.258
0.461,0.281,0.258
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.448,0.287,0.264
0.444,0.284,0.272
0.443,0.291,0.266
0.443,0.291,0.266
0.436,0.295,0.269
0.436,0.295,0.269
0.434,0.289,0.276
0.434,0.289,0.276
0.432,0.297,0.270
0.432,0.297,0.270
0.432,0.297,0.270
0.432,0.297,0.270
0.440,0.293,0.267
0.440,0.293,0.267
0.434,0.289,0.276
0.442,0.286,0.273
0.442,0.286,0.273
0.443,0.291,0.266
0.443,0.291,0.266
0.443,0.291,0.266
0.450,0.287,0.262
0.450,0.287,0.262
0.457,0.284,0.259
0.452,0.286,0.262
0.452,0.286,0.262
0.460,0.287,0.253
0.455,0.284,0.261
0.460,0.287,0.253
0.465,0.279,0.256
0.460,0.287,0.253
0.459,0.282,0.259
0.460,0.287,0.253
0.460,0.287,0.253
0.455,0.284,0.261
0.461,0.281,0.258
0.461,0.281,0.258
0.461,0.281,0.258
0.461,0.281,0.258
0.461,0.281,0.258
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.465,0.279,0.256
0.455,0.284,0.261
0.465,0.279,0.256
0.465,0.279,0.256
0.459,0.282,0.259
0.460,0.287,0.253
0.460,0.287,0.253
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.461,0.281,0.258
0.456,0.289,0.256
0.457,0.283,0.261
0.457,0.283,0.261
0.457,0.283,0.261
0.457,0.287,0.255
0.457,0.287,0.255
0.457,0.287,0.255
0.457,0.287,0.255
0.457,0.287,0.255
0.457,0.287,0.255
0.457,0.287,0.255
0.457,0.287,0.255
0.457,0.287,0.255
0.457,0.287,0.255
0.453,0.284,0.263
0.457,0.287,0.255
0.453,0.284,0.263
0.457,0.287,0.255
0.453,0.284,0.263
0.457,0.287,0.255
0.457,0.287,0.255
0.457,0.287,0.255
0.457,0.287,0.255
0.457,0.287,0.255
0.457,0.287,0.255
0.457,0.287,0.255
0.457,0.287,0.255
0.457,0.287,0.255
0.457,0.287,0.255
0.457,0.287,0.255
0.462,0.280,0.258
0.457,0.287,0.255
0.457,0.287,0.255
0.457,0.287,0.255
0.457,0.287,0.255
0.457,0.287,0.255
0.457,0.287,0.255
0.457,0.287,0.255
0.453,0.284,0.263
0.453,0.284,0.263
0.454,0.289,0.258
0.454,0.289,0.258
0.454,0.289,0.258
0.454,0.289,0.258
0.454,0.289,0.258
0.454,0.289,0.258
0.454,0.289,0.258
0.454,0.289,0.258
0.454,0.289,0.258
0.454,0.289,0.258
0.454,0.289,0.258
0.454,0.289,0.258
0.454,0.289,0.258
0.454,0.289,0.258
0.454,0.289,0.258
0.454,0.289,0.258
0.454,0.289,0.258
0.454,0.289,0.258
0.454,0.289,0.258
0.454,0.289,0.258
0.448,0.292,0.260
0.448,0.292,0.260
0.448,0.292,0.260
0.453,0.295,0.253
0.453,0.295,0.253
0.453,0.295,0.253
0.458,0.292,0.250
0.458,0.292,0.250
0.458,0.292,0.250
0.458,0.292,0.250
0.464,0.289,0.247
0.465,0.283,0.253
0.465,0.287,0.248
0.476,0.282,0.243
0.486,0.280,0.234
0.546,0.248,0.206
0.528,0.256,0.216
""
